x,y
1349,143
1424,210
1112,347
1560,302
1166,333
1140,327
1384,232
1428,192
1186,490
930,574
581,827
1354,452
781,651
1538,457
1497,328
1372,361
1129,427
1505,263
1122,555
1358,342
1257,460
1401,494
1375,307
1298,521
807,568
910,739
757,568
1382,488
784,588
1737,501
990,521
1492,298
884,627
903,527
898,474
1304,338
1092,163
1115,388
1159,114
1402,221
721,697
1311,134
1423,458
1332,242
1422,263
637,607
1261,186
1088,406
1168,188
1258,149
1294,608
1218,239
1017,422
715,675
1447,425
867,767
1258,511
1336,162
1280,437
1429,293
1167,444
1079,239
1449,468
1435,502
979,717
755,658
1000,418
1411,536
1400,389
1399,268
534,864
1040,423
1171,546
1207,533
827,654
1239,102
825,567
1388,440
1339,125
1122,527
1329,349
1276,238
686,687
1425,130
1626,504
1260,281
1400,328
1068,577
1087,348
1038,594
1190,436
1050,327
1420,176
1468,434
1174,213
1165,275
1386,144
668,698
1282,470
1324,506
850,542
998,467
1024,685
966,467
1141,531
1359,500
1159,165
1359,257
1308,209
1387,190
926,462
734,591
1325,396
1129,196
1284,148
818,528
882,571
1459,381
502,894
1083,293
1461,266
1336,298
1114,431
1215,110
1402,549
1356,403
1551,324
1477,238
1193,155
1475,351
784,497
1058,520
1218,196
1328,193
1002,577
1704,486
1070,493
1063,435
715,814
1237,306
1078,187
1078,221
980,427
1605,280
1525,321
861,731
1233,145
1113,286
1126,570
1264,358
1168,491
1529,253
1222,454
1359,200
1454,208
1184,328
1214,351
1088,491
1358,112
899,454
1732,498
1028,302
578,825
1227,344
1147,266
752,496
834,631
1104,139
1170,381
945,575
1187,227
874,519
909,738
1571,284
1098,450
1189,111
1650,413
459,880
1428,357
1534,436
703,591
1621,421
618,699
1138,396
1383,107
1718,399
1048,383
1450,135
1024,663
1285,389
974,591
1290,606
1334,624
1039,192
536,727
1207,290
1528,561
618,623
1557,370
1274,104
1506,512
922,615
112,986
1230,677
1688,524
716,512
1119,235
856,594
513,741
978,720
1632,243
592,739
412,905
559,700
1557,227
1480,143
796,693
1220,396
1586,435
776,772
655,589
1141,479
1147,674
1288,318
849,456
1093,567
1144,109
1501,420
1629,503
1459,87
658,816
606,546
1496,194
1634,352
942,424
