x,y
2693,1782
2786,1617
2827,1791
3386,1731
2276,1824
1768,1800
2230,1746
803,1619
3471,1748
2411,1520
2359,1822
1682,1720
3114,1764
1152,1621
3675,1810
3757,1950
1443,1623
1079,1800
1524,1830
1119,1803
1302,1804
2130,1805
1539,1748
662,1791
1900,1769
1730,1715
2634,1812
967,2034
2623,1613
1387,1757
1567,1791
3681,1776
1229,1785
3289,1794
1463,1755
1157,1818
1064,1759
1439,1863
815,1629
2192,1878
529,1767
3412,1797
2549,1822
2935,1797
3369,1735
963,1632
3031,1790
1967,1733
3513,1812
1337,1947
2029,1812
3582,1772
988,1820
1826,1818
2461,1837
3753,1763
1216,1944
2399,1865
1510,1872
2272,1936
3335,1813
1660,1843
1753,1882
3377,1947
3769,1972
