x,y
2309,1967
2105,2340
4536,1858
1685,1780
2405,1409
2589,2043
1750,2356
2148,1788
3023,2043
2654,1714
4284,2379
4419,2481
2373,1947
1745,2290
2540,1625
2753,1670
2003,1853
2164,2128
2007,1746
2257,2350
2965,1808
1904,2146
2694,1407
2817,1935
1659,1685
2362,1787
4988,1847
2093,1836
924,1786
2228,2003
1666,2327
3182,1914
1082,1796
1592,1807
1668,2203
1652,1902
1962,1760
1370,1970
4884,2047
2491,1391
2989,2084
2357,1434
2462,1997
1320,1361
2751,1919
1830,2225
2896,1820
1877,1766
1901,1399
2164,2352
1409,2374
1404,1384
1963,2107
2410,2360
1152,3600
2026,2350
1735,2057
2071,1763
2229,2140
3128,1804
2487,1723
2794,2044
2138,2304
1581,1425
2789,1778
4490,2508
1729,1865
1210,2333
2678,2067
1226,1799
1597,2307
1529,2358
2297,1824
964,1829
2661,1872
2007,1359
1358,1621
1316,1719
2153,2003
4403,2411
2654,1781
2759,1397
2495,2369
3136,1982
1344,2354
1962,2297
2450,1839
1365,2118
3053,1878
1831,2369
2563,1409
2073,1329
2163,1367
1238,2132
2221,1733
2055,2236
1583,2063
4546,2499
972,2106
4711,2526
1803,1750
1116,1693
2719,2328
2506,2149
1217,2195
3258,2106
3076,1728
2748,2179
2841,1636
1472,1406
4276,2428
2630,2354
2376,2067
1933,1904
1231,1369
1780,2134
5061,2358
5151,1964
1436,2266
4476,1873
1221,1975
1815,1402
1076,1894
1449,1871
1312,1838
1339,2163
1552,1942
1134,2304
4646,1994
4516,1987
2545,1994
4746,2443
4998,2203
973,2239
1469,2061
2932,1980
1624,2146
2981,1659
4617,2424
1807,1979
1417,1728
1519,1726
2073,2105
2953,2128
2027,1633
1796,1352
4400,2532
1906,1644
2842,2294
2341,2270
2897,2849
3286,2211
2419,1610
2557,2292
4753,1979
5150,2134
4484,2231
4540,2345
4856,1873
3265,1775
2247,1578
4529,2092
3315,2408
5086,2019
4979,2127
2035,1973
5315,2117
793,2191
1519,1204
2161,1654
4975,1798
4787,2049
2644,1661
2543,1822
3052,2304
4167,2409
4597,1832
4764,1835
5017,1942
3184,1674
3304,1923
4665,2276
1143,2095
1603,1614
